,func_before,type_label,CWE ID
10,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_struct_calloc_53
{




void REDACTEDSink_b(twoIntsStruct * data);

void REDACTED()
{
    twoIntsStruct * data;

    data = 0;

    data = (twoIntsStruct *)calloc(100, sizeof(twoIntsStruct));
    if (data == 0) {exit(-1);}
    REDACTEDSink_b(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_struct_calloc_53;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
11,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__new_free_int64_t_72
{



void REDACTEDSink(vector<int64_t *> dataVector)
{

    int64_t * data = dataVector[2];


    free(data);
}
}
",C,CWE-762
12,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_free_char_53
{




void REDACTEDSink_d(char * data);

void REDACTEDSink_c(char * data)
{
    REDACTEDSink_d(data);
}
}
",C,CWE-762
13,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_calloc_66
{




void REDACTEDSink(wchar_t * dataArray[]);

void REDACTED()
{
    wchar_t * data;
    wchar_t * dataArray[5];

    data = 0;

    data = (wchar_t *)calloc(100, sizeof(wchar_t));
    if (data == 0) {exit(-1);}

    dataArray[2] = data;
    REDACTEDSink(dataArray);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_calloc_66;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
14,"namespace FILENAME
{



static long * REDACTEDSource(long * data)
{

    data = (long *)malloc(100*sizeof(long));
    if (data == 0) {exit(-1);}
    return data;
}

void REDACTED()
{
    long * data;

    data = 0;
    data = REDACTEDSource(data);


    delete data;
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
15,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_calloc_54
{




void REDACTEDSink_d(wchar_t * data);

void REDACTEDSink_c(wchar_t * data)
{
    REDACTEDSink_d(data);
}
}
",C,CWE-762
16,"namespace FILENAME
{



void REDACTED()
{
    long * data;

    data = 0;
    if(globalFive==5)
    {

        data = new long[100];
    }
    if(globalFive==5)
    {


        delete data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
17,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_free_struct_81
{



void REDACTED()
{
    twoIntsStruct * data;

    data = 0;

    data = new twoIntsStruct;
    const REDACTED_Mismatched_Memory_Management_Routines__new_free_struct_81_base& o = REDACTED_Mismatched_Memory_Management_Routines__new_free_struct_81_REDACTED();
    o.action(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_free_struct_81;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
18,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_free_int_53
{




void REDACTEDSink_c(int * data);

void REDACTEDSink_b(int * data)
{
    REDACTEDSink_c(data);
}
}
",C,CWE-762
19,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_int_realloc_73
{



void REDACTEDSink(list<int *> dataList)
{

    int * data = dataList.back();


    delete data;
}
}
",C,CWE-762
20,"namespace FILENAME
{



static void REDACTEDSink(int * data)
{


    delete data;
}

void REDACTED()
{
    int * data;

    data = 0;
    data = 0;

    data = (int *)realloc(data, 100*sizeof(int));
    if (data == 0) {exit(-1);}
    REDACTEDSink(data);
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
21,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_struct_realloc_74
{




void REDACTEDSink(map<int, twoIntsStruct *> dataMap);

void REDACTED()
{
    twoIntsStruct * data;
    map<int, twoIntsStruct *> dataMap;

    data = 0;
    data = 0;

    data = (twoIntsStruct *)realloc(data, 100*sizeof(twoIntsStruct));
    if (data == 0) {exit(-1);}

    dataMap[0] = data;
    dataMap[1] = data;
    dataMap[2] = data;
    REDACTEDSink(dataMap);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_struct_realloc_74;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
22,"namespace FILENAME
{



static char * REDACTEDSource(char * data)
{

    data = (char *)malloc(100*sizeof(char));
    if (data == 0) {exit(-1);}
    return data;
}

void REDACTED()
{
    char * data;

    data = 0;
    data = REDACTEDSource(data);


    delete data;
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
23,"namespace FILENAME
{



void REDACTED()
{
    int * data;
    int * &dataRef = data;

    data = 0;

    data = (int *)calloc(100, sizeof(int));
    if (data == 0) {exit(-1);}
    {
        int * data = dataRef;


        delete [] data;
    }
}
}







using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
24,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_long_calloc_52
{




void REDACTEDSink_b(long * data);

void REDACTED()
{
    long * data;

    data = 0;

    data = (long *)calloc(100, sizeof(long));
    if (data == 0) {exit(-1);}
    REDACTEDSink_b(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_long_calloc_52;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
25,"namespace FILENAME
{



void REDACTED()
{
    long * data;

    data = 0;
    while(1)
    {

        data = new long;
        break;
    }
    while(1)
    {


        delete [] data;
        break;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
26,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_delete_long_61
{



long * REDACTEDSource(long * data)
{

    data = new long[100];
    return data;
}
}
",C,CWE-762
27,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_realloc_65
{




void REDACTEDSink(wchar_t * data);

void REDACTED()
{
    wchar_t * data;

    void (*funcPtr) (wchar_t *) = REDACTEDSink;

    data = 0;
    data = 0;

    data = (wchar_t *)realloc(data, 100*sizeof(wchar_t));
    if (data == 0) {exit(-1);}

    funcPtr(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_realloc_65;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
28,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_82
{



void REDACTED()
{
    TwoIntsClass * data;

    data = 0;

    data = (TwoIntsClass *)malloc(100*sizeof(TwoIntsClass));
    if (data == 0) {exit(-1);}
    REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_82_base* baseObject = new REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_82_REDACTED;
    baseObject->action(data);
    delete baseObject;
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_82;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
29,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_73
{



void REDACTEDSink(list<TwoIntsClass *> dataList)
{

    TwoIntsClass * data = dataList.back();


    delete data;
}
}
",C,CWE-762
30,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_delete_array_char_67
{

typedef struct _structType
{
    char * structFirst;
} structType;




void REDACTEDSink(structType myStruct);

void REDACTED()
{
    char * data;
    structType myStruct;

    data = 0;

    data = new char;
    myStruct.structFirst = data;
    REDACTEDSink(myStruct);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_delete_array_char_67;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
31,"static int staticFive = 5;

namespace FILENAME
{



void REDACTED()
{
    int64_t * data;

    data = 0;
    if(staticFive==5)
    {

        data = (int64_t *)malloc(100*sizeof(int64_t));
        if (data == 0) {exit(-1);}
    }
    if(staticFive==5)
    {


        delete data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
32,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_delete_char_67
{

typedef struct _structType
{
    char * structFirst;
} structType;



void REDACTEDSink(structType myStruct)
{
    char * data = myStruct.structFirst;


    delete data;
}
}
",C,CWE-762
33,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_wchar_t_malloc_52
{



void REDACTEDSink_c(wchar_t * data)
{


    delete [] data;
}
}
",C,CWE-762
34,"namespace FILENAME
{

void FILENAME_REDACTED::action(char * data) const
{


    delete data;
}

}
",C,CWE-762
35,"namespace FILENAME
{
FILENAME_REDACTED::FILENAME_REDACTED(int * dataCopy)
{
    data = dataCopy;

    data = new int[100];
}

FILENAME_REDACTED::~FILENAME_REDACTED()
{


    free(data);
}
}
",C,CWE-762
36,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_realloc_72
{



void REDACTEDSink(vector<int64_t *> dataVector)
{

    int64_t * data = dataVector[2];


    delete [] data;
}
}
",C,CWE-762
37,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_class_62
{



void REDACTEDSource(TwoIntsClass * &data)
{

    data = new TwoIntsClass[100];
}
}
",C,CWE-762
38,"namespace FILENAME
{
FILENAME_REDACTED::FILENAME_REDACTED(twoIntsStruct * dataCopy)
{
    data = dataCopy;
    data = 0;

    data = (twoIntsStruct *)realloc(data, 100*sizeof(twoIntsStruct));
    if (data == 0) {exit(-1);}
}

FILENAME_REDACTED::~FILENAME_REDACTED()
{


    delete data;
}
}
",C,CWE-762
39,"static const int STATIC_CONST_FIVE = 5;

namespace FILENAME
{



void REDACTED()
{
    char * data;

    data = 0;
    if(STATIC_CONST_FIVE==5)
    {

        data = (char *)malloc(100*sizeof(char));
        if (data == 0) {exit(-1);}
    }
    if(STATIC_CONST_FIVE==5)
    {


        delete data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
40,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_delete_wchar_t_61
{



wchar_t * REDACTEDSource(wchar_t * data)
{

    data = new wchar_t[100];
    return data;
}
}
",C,CWE-762
41,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_realloc_73
{




void REDACTEDSink(list<int64_t *> dataList);

void REDACTED()
{
    int64_t * data;
    list<int64_t *> dataList;

    data = 0;
    data = 0;

    data = (int64_t *)realloc(data, 100*sizeof(int64_t));
    if (data == 0) {exit(-1);}

    dataList.push_back(data);
    dataList.push_back(data);
    dataList.push_back(data);
    REDACTEDSink(dataList);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_realloc_73;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
42,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_65
{




void REDACTEDSink(TwoIntsClass * data);

void REDACTED()
{
    TwoIntsClass * data;

    void (*funcPtr) (TwoIntsClass *) = REDACTEDSink;

    data = 0;

    data = (TwoIntsClass *)malloc(100*sizeof(TwoIntsClass));
    if (data == 0) {exit(-1);}

    funcPtr(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_class_malloc_65;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
43,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_calloc_61
{



wchar_t * REDACTEDSource(wchar_t * data)
{

    data = (wchar_t *)calloc(100, sizeof(wchar_t));
    if (data == 0) {exit(-1);}
    return data;
}
}
",C,CWE-762
44,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_long_realloc_53
{



void REDACTEDSink_d(long * data)
{


    delete [] data;
}
}
",C,CWE-762
45,"static const int STATIC_CONST_FIVE = 5;

namespace FILENAME
{



void REDACTED()
{
    int64_t * data;

    data = 0;
    if(STATIC_CONST_FIVE==5)
    {

        data = (int64_t *)malloc(100*sizeof(int64_t));
        if (data == 0) {exit(-1);}
    }
    if(STATIC_CONST_FIVE==5)
    {


        delete [] data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
46,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_wchar_t_22
{





extern int REDACTEDGlobal;

void REDACTEDSink(wchar_t * data)
{
    if(REDACTEDGlobal)
    {


        free(data);
    }
}
}
",C,CWE-762
47,"namespace FILENAME
{



void REDACTEDSource(int * &data)
{

    data = new int[100];
}

void REDACTED()
{
    int * data;

    data = 0;
    REDACTEDSource(data);


    free(data);
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
48,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_malloc_68
{

int64_t * REDACTEDData;
int64_t * REDACTEDREDACTEDData;
int64_t * REDACTEDB2GData;




void REDACTEDSink();

void REDACTED()
{
    int64_t * data;

    data = 0;

    data = (int64_t *)malloc(100*sizeof(int64_t));
    if (data == 0) {exit(-1);}
    REDACTEDData = data;
    REDACTEDSink();
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_malloc_68;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
49,"static const int STATIC_CONST_TRUE = 1;
static const int STATIC_CONST_FALSE = 0;

namespace FILENAME
{



void REDACTED()
{
    TwoIntsClass * data;

    data = 0;
    if(STATIC_CONST_TRUE)
    {
        data = 0;

        data = (TwoIntsClass *)realloc(data, 100*sizeof(TwoIntsClass));
        if (data == 0) {exit(-1);}
    }
    if(STATIC_CONST_TRUE)
    {


        delete [] data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
50,"namespace FILENAME
{
FILENAME_REDACTED::FILENAME_REDACTED(int * dataCopy)
{
    data = dataCopy;

    data = (int *)malloc(100*sizeof(int));
    if (data == 0) {exit(-1);}
}

FILENAME_REDACTED::~FILENAME_REDACTED()
{


    delete data;
}
}
",C,CWE-762
51,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_82
{



void REDACTED()
{
    wchar_t * data;

    data = 0;

    data = (wchar_t *)malloc(100*sizeof(wchar_t));
    if (data == 0) {exit(-1);}
    REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_82_base* baseObject = new REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_82_REDACTED;
    baseObject->action(data);
    delete baseObject;
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_82;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
52,"namespace FILENAME
{



static TwoIntsClass * REDACTEDSource(TwoIntsClass * data)
{

    data = (TwoIntsClass *)malloc(100*sizeof(TwoIntsClass));
    if (data == 0) {exit(-1);}
    return data;
}

void REDACTED()
{
    TwoIntsClass * data;

    data = 0;
    data = REDACTEDSource(data);


    delete [] data;
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
53,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_struct_malloc_73
{



void REDACTEDSink(list<twoIntsStruct *> dataList)
{

    twoIntsStruct * data = dataList.back();


    delete [] data;
}
}
",C,CWE-762
54,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_53
{




void REDACTEDSink_d(wchar_t * data);

void REDACTEDSink_c(wchar_t * data)
{
    REDACTEDSink_d(data);
}
}
",C,CWE-762
55,"namespace FILENAME
{
FILENAME_REDACTED::FILENAME_REDACTED(char * dataCopy)
{
    data = dataCopy;

    data = new char;
}

FILENAME_REDACTED::~FILENAME_REDACTED()
{


    free(data);
}
}
",C,CWE-762
56,"namespace FILENAME
{



void REDACTED()
{
    TwoIntsClass * data;

    data = 0;
    if(5==5)
    {

        data = (TwoIntsClass *)calloc(100, sizeof(TwoIntsClass));
        if (data == 0) {exit(-1);}
    }
    if(5==5)
    {


        delete [] data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
57,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_54
{




void REDACTEDSink_b(wchar_t * data);

void REDACTED()
{
    wchar_t * data;

    data = 0;

    data = (wchar_t *)malloc(100*sizeof(wchar_t));
    if (data == 0) {exit(-1);}
    REDACTEDSink_b(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_wchar_t_malloc_54;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
58,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_int64_t_realloc_66
{



void REDACTEDSink(int64_t * dataArray[])
{

    int64_t * data = dataArray[2];


    delete [] data;
}
}
",C,CWE-762
59,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_delete_array_wchar_t_51
{




void REDACTEDSink(wchar_t * data);

void REDACTED()
{
    wchar_t * data;

    data = 0;

    data = new wchar_t;
    REDACTEDSink(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_delete_array_wchar_t_51;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
60,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_class_72
{




void REDACTEDSink(vector<TwoIntsClass *> dataVector);

void REDACTED()
{
    TwoIntsClass * data;
    vector<TwoIntsClass *> dataVector;

    data = 0;

    data = new TwoIntsClass[100];

    dataVector.insert(dataVector.end(), 1, data);
    dataVector.insert(dataVector.end(), 1, data);
    dataVector.insert(dataVector.end(), 1, data);
    REDACTEDSink(dataVector);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_class_72;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
61,"namespace FILENAME
{

static twoIntsStruct * REDACTEDData;
static twoIntsStruct * REDACTEDREDACTEDData;
static twoIntsStruct * REDACTEDB2GData;



static void REDACTEDSink()
{
    twoIntsStruct * data = REDACTEDData;


    free(data);
}

void REDACTED()
{
    twoIntsStruct * data;

    data = 0;

    data = new twoIntsStruct[100];
    REDACTEDData = data;
    REDACTEDSink();
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
62,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_struct_53
{




void REDACTEDSink_c(twoIntsStruct * data);

void REDACTEDSink_b(twoIntsStruct * data)
{
    REDACTEDSink_c(data);
}
}
",C,CWE-762
63,"namespace FILENAME
{



void REDACTED()
{
    twoIntsStruct * data;

    data = 0;
    if(5==5)
    {

        data = (twoIntsStruct *)calloc(100, sizeof(twoIntsStruct));
        if (data == 0) {exit(-1);}
    }
    if(5==5)
    {


        delete data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
